Sistema,Cultura,Rep,pH,K_mg_dm3,P_mg_dm3,Ca_cmolc_dm3,Mg_cmolc_dm3,Al_cmolc_dm3,HAl_cmolc_dm3,SB_cmolc_dm3,T_cmolc_dm3,V_pct,m_pct,MOS_g_kg,EstN_kg_ha,DS_g_cm3,MI_pct,MA_pct,DMG_mm,VIB_mm_h,RP_KPa,AD_PT,qMIC,qCO2,CCO2_g_kg,CMIC_ug_g,NMIC_mg_kg,IQS,N_plantas_ha,Produtividade_espigas,Receita_Bruta,COT,Lucro_Operacional,PNP,PNC,ISSC
CC,Milheto,3,6.10,34.90,37.44,1.14,0.71,0.06,1.56,1.94,3.46,56.05,3.00,12.70,893.88,1.60,21.12,13.98,2.03,6.00,1.09,0.33,14.61,9.65,117.78,74.46,12.72,64.82,61979.17,25173.61,11159.46,7955.55,3203.92,17946.19,0.32,-0.52
CM,Caupi,1,6.20,22.94,33.93,1.31,0.84,0.04,1.32,2.21,3.53,62.57,1.78,14.80,912.45,1.67,22.72,10.66,0.92,60.00,0.47,0.18,7.71,24.27,147.60,37.08,18.30,59.78,63888.89,24826.39,11005.54,7936.89,3068.64,17904.12,0.32,0.43
CM,Caupi,2,5.50,20.94,37.14,1.01,0.66,0.04,1.48,1.72,3.87,44.54,1.89,13.00,846.10,1.50,21.08,11.20,0.77,60.00,0.73,0.20,7.69,21.20,124.12,35.70,17.74,56.32,59548.61,29861.11,13237.43,7970.37,5267.06,17979.64,0.27,0.46
CM,Caupi,3,6.20,21.94,48.82,1.15,0.71,0.04,1.64,1.96,3.60,54.37,2.00,14.60,906.94,1.57,23.39,11.73,0.85,45.00,0.72,0.24,8.57,16.86,100.63,36.39,18.85,60.51,52604.17,22395.83,9928.07,7920.73,2007.34,17867.66,0.35,0.45
CM,Guandu,1,6.10,28.92,36.43,1.37,0.91,0.04,1.56,2.35,3.91,60.21,2.36,15.00,913.31,1.60,22.81,15.82,1.50,78.00,0.68,0.18,12.27,5.56,94.96,104.12,19.83,73.52,59027.78,18055.56,8004.03,8399.22,-395.19,18947.04,0.47,0.53
CM,Guandu,2,6.30,23.93,33.84,1.21,0.92,0.06,1.23,2.19,3.42,64.07,2.67,14.80,912.17,1.73,22.17,14.84,1.60,111.00,0.72,0.24,11.11,6.11,108.46,108.18,16.69,65.11,57118.06,20833.33,9235.42,8417.69,817.72,18988.70,0.40,0.44
CM,Guandu,3,5.80,26.43,28.64,1.32,0.98,0.05,1.70,2.40,4.10,58.47,2.04,17.40,1079.74,1.95,22.52,14.52,1.72,90.00,0.66,0.21,12.61,4.70,81.46,105.63,13.55,73.32,65972.22,19444.44,8619.72,8408.46,211.27,18967.87,0.43,0.52
CM,Crotalaria,1,6.30,32.90,46.15,1.26,0.91,0.03,1.52,2.25,3.77,59.80,1.32,15.10,908.96,1.58,24.54,12.42,0.80,33.00,0.72,0.26,15.45,5.59,111.69,108.23,5.54,67.74,49305.56,18229.17,8080.99,7819.04,261.95,17638.25,0.43,-0.34
CM,Crotalaria,2,6.40,15.96,49.51,1.46,0.97,0.04,1.22,2.47,3.69,66.96,1.59,13.80,896.83,1.60,23.22,14.06,0.91,36.00,0.78,0.23,11.61,5.88,133.29,74.88,9.78,73.31,49131.94,20312.50,9004.53,7832.89,1171.64,17669.50,0.39,0.14
CM,Crotalaria,3,5.70,24.43,52.87,1.07,0.94,0.04,1.37,1.81,3.82,47.42,1.46,14.60,899.69,1.53,21.20,13.75,1.03,39.00,0.66,0.24,12.97,6.18,90.10,88.95,7.66,66.88,48958.33,23437.50,10389.84,7853.67,2536.17,17716.37,0.34,0.27
CM,Milheto,1,6.10,31.91,33.84,1.39,0.93,0.04,1.63,2.40,4.03,59.60,1.64,15.40,894.64,1.51,24.11,14.38,1.78,63.00,1.02,0.17,11.42,14.92,117.96,48.21,10.56,62.32,55208.33,24826.39,11005.54,7762.31,3243.22,17510.30,0.31,0.40
CM,Milheto,2,6.40,22.94,41.16,1.54,1.12,0.04,1.15,2.72,3.87,70.25,1.44,15.20,950.75,1.69,23.88,12.06,1.92,45.00,0.87,0.24,12.70,10.76,118.57,67.19,7.80,58.75,47048.61,22395.83,9928.07,7746.15,2181.92,17473.84,0.35,-0.22
CM,Milheto,3,6.20,25.93,37.50,1.39,0.92,0.03,1.38,2.38,3.76,63.20,1.24,13.90,848.03,1.52,23.56,16.15,1.85,54.00,1.17,0.19,10.14,12.50,118.27,57.70,9.18,63.40,48958.33,19965.28,8850.61,7729.99,1120.62,17437.38,0.39,0.30
PD,Caupi,1,6.70,27.92,48.38,1.64,0.69,0.04,1.43,2.70,3.68,73.41,1.46,12.90,600.30,1.49,20.36,19.41,1.33,297.00,0.85,0.18,16.68,4.59,80.56,107.08,5.74,68.75,67881.94,33854.17,15007.55,7624.02,7383.54,17198.32,0.23,0.53
PD,Caupi,2,5.70,23.93,53.23,1.16,0.62,0.05,1.57,1.84,3.14,54.00,1.61,12.50,705.95,1.55,21.01,18.52,1.46,345.00,0.66,0.20,14.41,3.43,58.29,103.72,8.17,58.88,57291.67,26562.50,11775.16,7575.53,4199.63,17088.95,0.29,0.47
PD,Caupi,3,6.10,25.93,58.07,1.39,0.75,0.04,1.29,2.23,3.52,63.41,1.76,12.60,697.30,1.72,20.69,23.13,1.20,321.00,0.57,0.18,18.94,2.45,36.02,89.52,10.60,55.80,57118.06,28993.06,12852.62,7591.69,5260.93,17125.41,0.26,0.53
PD,Guandu,1,6.00,38.88,37.34,1.38,0.74,0.08,1.64,2.22,3.86,57.50,4.14,13.40,834.63,1.58,22.84,14.41,1.38,63.00,0.68,0.22,13.25,3.63,49.40,82.91,15.16,62.05,53993.06,38368.06,17008.56,8161.38,8847.18,18410.52,0.21,0.55
PD,Guandu,2,5.40,25.93,44.57,1.01,0.66,0.08,2.12,1.74,3.86,44.99,4.40,13.20,861.38,1.49,22.89,20.64,1.30,54.00,0.84,0.16,17.42,2.97,54.15,111.18,17.36,64.22,64930.56,40798.61,18086.02,8177.54,9908.48,18446.97,0.20,0.63
PD,Guandu,3,5.60,32.41,40.96,1.23,0.62,0.08,1.98,1.98,3.96,50.07,3.88,15.20,866.36,1.52,22.64,18.10,1.59,54.00,0.76,0.17,14.88,2.83,45.01,97.05,12.96,64.28,59461.81,35937.50,15931.09,8145.22,7785.87,18374.06,0.23,0.60
PD,Crotalaria,1,5.40,33.90,39.47,1.10,0.59,0.09,2.17,1.78,3.95,44.99,4.81,13.70,971.81,1.59,22.89,17.82,1.57,78.00,1.15,0.18,25.83,9.29,192.78,126.59,2.88,64.44,57291.67,34722.22,15392.36,7555.80,7836.56,17044.44,0.22,0.57
PD,Crotalaria,2,5.50,33.90,35.93,1.00,0.50,0.12,1.98,1.59,3.57,44.45,7.02,12.80,828.70,1.57,20.10,15.78,1.18,66.00,1.05,0.19,26.78,8.34,90.52,131.42,2.51,64.23,61284.72,32465.28,14391.86,7540.79,6851.07,17010.58,0.23,0.59
PD,Crotalaria,3,6.20,31.91,37.70,1.40,0.55,0.11,2.08,1.69,3.65,44.72,5.92,14.00,797.22,1.48,23.17,19.86,1.38,72.00,0.96,0.14,24.88,7.40,141.65,157.61,2.69,67.90,60937.50,34548.61,15315.40,7554.64,7760.76,17041.83,0.22,0.57
PD,Milheto,1,6.20,25.93,32.04,1.36,0.82,0.09,1.27,2.25,3.52,48.19,4.74,11.70,704.27,1.46,19.74,23.34,1.43,150.00,0.47,0.21,60.65,2.02,127.99,160.99,18.41,71.87,65798.61,35243.06,15623.25,7458.67,8164.57,16825.34,0.21,0.49
PD,Milheto,2,5.70,29.92,31.87,1.06,0.64,0.09,1.78,1.82,3.60,50.49,4.71,14.50,980.10,1.51,20.84,19.28,1.37,168.00,0.58,0.18,63.91,1.52,121.80,488.23,16.34,75.93,60243.06,31770.83,14084.01,7435.58,6648.43,16773.25,0.23,0.50
PD,Milheto,3,5.50,33.90,31.69,1.21,0.60,0.08,1.88,1.60,3.48,45.89,4.76,13.00,783.91,1.56,21.99,21.31,1.02,159.00,0.53,0.16,57.38,2.52,134.19,324.61,20.47,67.60,54687.50,33506.94,14853.63,7447.13,7406.50,16799.30,0.22,0.52
Mata,Mata,1,4.10,21.94,2.19,0.67,0.32,0.43,3.59,1.05,4.67,23.06,28.69,20.90,891.76,1.36,25.70,19.83,2.24,222.00,0.35,0.27,25.93,1.24,36.34,178.57,15.76,63.48,,,,,,,,
Mata,Mata,2,4.80,20.94,2.40,0.78,0.38,0.43,3.91,1.21,5.12,23.70,26.22,20.80,930.86,1.35,27.22,19.61,3.12,171.00,0.27,0.24,27.25,1.45,57.63,175.44,10.78,71.29,,,,,,,,
Mata,Mata,3,5.00,21.94,1.98,0.52,0.37,0.43,3.27,0.95,4.22,22.42,31.16,21.70,1006.08,1.38,28.88,16.71,1.37,153.00,0.31,0.30,22.10,1.66,46.98,172.32,20.75,66.51,,,,,,,,
